display name,Affy ID,HR（内分泌療法〇）,HR（内分泌療法×）,ーlogP(内分泌療法×),LOGHRincludevalue,LOGHRexcludevalue,deltaHR,shape,logrank（〇）,logrank(×),下限信頼区間(内分泌療法あり),上限信頼区間(内分泌療法あり),標準誤差（内分泌療法〇）,下限信頼区間(内分泌療法なし),上限信頼区間(内分泌療法なし),標準誤差（内分泌療法×）,Z,|Z|,P
KIF11,204444_at,1.97,2.81,7.37675071,0.294466226,0.44870632,-0.154240094,2,0.0037,4.20E-08,1.24,3.15,0.103287977,1.91,4.14,0.085705861,-1.149194129,1.149194129,0.250475941
KIF15,219306_at,1.25,2.18,4.148741651,0.096910013,0.338456494,-0.241546481,1,0.39,7.10E-05,0.75,2.1,0.114070926,1.47,3.24,0.08755808,-1.679732844,1.679732844,0.093009307
KIF22,202183_s_at,1.26,0.56,2.337242168,0.100370545,-0.251811973,0.352182518,1,0.34,4.60E-03,0.78,2.05,0.107055933,0.37,0.84,0.090836113,2.508421716,2.508421716,0.012127184
KIF25,208128_x_at,1.54,0.55,3.552841969,0.187520721,-0.259637311,0.447158031,1,0.082,2.80E-04,0.94,2.5,0.108370448,0.39,0.76,0.073915557,3.408788705,3.408788705,0.00065252
KIF2C,209408_at,2.55,2.28,5.091514981,0.40654018,0.357934847,0.048605333,2,0.00014,8.10E-06,1.55,4.19,0.110174062,1.57,3.3,0.082299563,0.353443871,0.353443871,0.723755701
KNTC1,206316_s_at,0.69,1.6,1.795880017,-0.161150909,0.204119983,-0.365270892,1,0.12,1.60E-02,0.44,1.11,0.102517934,1.09,2.35,0.085112593,-2.74135939,2.74135939,0.006118554
KPNA2,211762_s_at,1.69,2.37,4.26760624,0.227886705,0.374748346,-0.146861641,2,0.026,5.40E-05,1.06,2.69,0.103175106,1.54,3.64,0.095301189,-1.045618459,1.045618459,0.295737223
KRT7,209016_s_at,0.69,1.98,4.318758763,-0.161150909,0.29666519,-0.4578161,1,0.14,4.80E-05,0.42,1.14,0.110626419,1.42,2.78,0.074427666,-3.433629997,3.433629997,0.000595557
LIG3,207348_s_at,0.71,0.81,0.638272164,-0.148741651,-0.091514981,-0.05722667,0,0.19,2.30E-01,0.42,1.19,0.115382059,0.57,1.15,0.077760965,-0.411290034,0.411290034,0.680859877
MAD2L1,203362_s_at,1.65,2.81,6.677780705,0.217483944,0.44870632,-0.231222376,2,0.04,2.10E-07,1.02,2.68,0.107024138,1.87,4.23,0.090433357,-1.650226752,1.650226752,0.098896567
MAP3K11,203652_at,1.58,0.72,1.229147988,0.198657087,-0.142667504,0.341324591,0,0.081,5.90E-02,0.94,2.65,0.114826026,0.51,1.01,0.075701836,2.481734986,2.481734986,0.013074447
MPHOSPH6,203740_at,2.37,1.45,1.585026652,0.374748346,0.161368002,0.213380344,2,0.013,2.60E-02,1.18,4.76,0.15452167,1.04,2.01,0.073000693,1.24858472,1.24858472,0.211817004
MPHOSPH9,206205_at,0.63,1.82,3.468521083,-0.200659451,0.260071388,-0.460730839,1,0.054,3.40E-04,0.4,1.01,0.1026177,1.3,2.53,0.073769686,-3.645547431,3.645547431,0.000266823
MRE11,205395_s_at,0.52,1.46,1.823908741,-0.283996656,0.164352856,-0.448349512,2,0.006,2.10E-02,0.32,0.84,0.106920742,1.06,2.03,0.071987289,-3.478378125,3.478378125,0.000504458
MSH4,210533_at,2,1.32,0.958607315,0.301029996,0.120573931,0.180456064,1,0.038,1.10E-01,1.03,3.91,0.147790697,0.93,1.85,0.076196117,1.085275764,1.085275764,0.277799537
MSH5,212913_at,1.31,1.34,1.031517051,0.117271296,0.127104798,-0.009833503,0,0.28,9.30E-02,0.8,2.13,0.108492249,0.95,1.9,0.076793366,-0.073980479,0.073980479,0.941025918
MYO16,215119_at,1.38,0.68,1.443697499,0.139879086,-0.167491087,0.307370174,1,0.19,3.60E-02,0.85,2.24,0.10735436,0.48,0.98,0.079077765,2.305245584,2.305245584,0.021152823
NBN,202907_s_at,0.73,1.31,1.008773924,-0.13667714,0.117271296,-0.253948436,0,0.22,9.80E-02,0.9,2.32,0.10490956,0.95,1.82,0.072027496,-1.995578412,1.995578412,0.045979831
NCAPH,212949_at,2.04,2.15,4.397940009,0.309630167,0.33243846,-0.022808292,2,0.0022,4.00E-05,1.28,3.25,0.103233008,1.48,3.12,0.082625734,-0.172493032,0.172493032,0.863049939
